-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  <string>(1): <module>         0.00%       0.768us        16.67%       15.151s       15.151s       0.000us         0.00%     736.506ms     736.506ms             1  
              multiprocessing/spawn.py(122): spawn_main         0.00%       1.072us        16.67%       15.151s       15.151s       0.000us         0.00%     736.506ms     736.506ms             1  
                   multiprocessing/spawn.py(135): _main         0.00%       0.848us        16.67%       15.151s       15.151s       0.000us         0.00%     736.506ms     736.506ms             1  
            multiprocessing/process.py(314): _bootstrap         0.00%       1.040us        16.67%       15.151s       15.151s       0.000us         0.00%     736.506ms     736.506ms             1  
                   multiprocessing/process.py(108): run         0.00%       1.424us        16.67%       15.151s       15.151s       0.000us         0.00%     736.506ms     736.506ms             1  
/home/redhat-et/lkesem/vllm/vllm/v1/engine/core.py(1...         0.00%       0.896us        16.67%       15.151s       15.151s       0.000us         0.00%     736.506ms     736.506ms             1  
/home/redhat-et/lkesem/vllm/vllm/v1/fault_tolerance/...         0.00%       0.320us        16.67%       15.151s       15.151s       0.000us         0.00%     736.506ms     736.506ms             1  
/home/redhat-et/lkesem/vllm/vllm/v1/engine/core.py(1...         0.00%     109.744us        16.67%       15.151s       15.151s       0.000us         0.00%     736.506ms     736.506ms             1  
/home/redhat-et/lkesem/vllm/vllm/v1/engine/core.py(1...         0.00%      18.976us        11.03%       10.024s       10.024s       0.000us         0.00%       0.000us       0.000us             1  
/home/redhat-et/lkesem/vllm/vllm/v1/engine/core.py(1...         0.00%       1.136us         0.00%     303.920us     303.920us       0.000us         0.00%       0.000us       0.000us             1  
/home/redhat-et/lkesem/vllm/vllm/v1/engine/core.py(1...         0.00%       9.232us         0.00%     302.784us     302.784us       0.000us         0.00%       0.000us       0.000us             1  
/home/redhat-et/lkesem/vllm/vllm/v1/engine/core.py(1...         0.00%       0.832us         0.00%     266.864us     266.864us       0.000us         0.00%       0.000us       0.000us             1  
/home/redhat-et/lkesem/vllm/vllm/v1/engine/core.py(7...         0.00%       0.576us         0.00%     266.032us     266.032us       0.000us         0.00%       0.000us       0.000us             1  
/home/redhat-et/lkesem/vllm/vllm/v1/executor/abstrac...         0.00%       0.864us         0.00%     265.456us     265.456us       0.000us         0.00%       0.000us       0.000us             1  
/home/redhat-et/lkesem/vllm/vllm/v1/executor/uniproc...         0.00%       1.968us         0.00%     264.592us     264.592us       0.000us         0.00%       0.000us       0.000us             1  
/home/redhat-et/lkesem/vllm/vllm/v1/serial_utils.py(...         0.00%       2.400us         0.00%     259.072us     259.072us       0.000us         0.00%       0.000us       0.000us             1  
/home/redhat-et/lkesem/vllm/vllm/v1/worker/gpu_worke...         0.00%       1.136us         0.00%     256.672us     256.672us       0.000us         0.00%       0.000us       0.000us             1  
/home/redhat-et/lkesem/vllm/vllm/profiler/wrapper.py...         0.00%       0.624us         0.00%     255.536us     255.536us       0.000us         0.00%       0.000us       0.000us             1  
