-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                    Module:model.layers.0.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.808ms         0.62%       1.808ms     452.016us             4  
                   Module:model.layers.11.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.807ms         0.62%       1.807ms     451.832us             4  
                   Module:model.layers.20.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.804ms         0.62%       1.804ms     450.968us             4  
                   Module:model.layers.28.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.802ms         0.62%       1.802ms     450.407us             4  
                    Module:model.layers.2.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.800ms         0.61%       1.800ms     449.936us             4  
                   Module:model.layers.30.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.800ms         0.61%       1.800ms     449.888us             4  
                    Module:model.layers.7.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.799ms         0.61%       1.799ms     449.815us             4  
                   Module:model.layers.12.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.795ms         0.61%       1.795ms     448.704us             4  
                    Module:model.layers.8.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.794ms         0.61%       1.794ms     448.512us             4  
                   Module:model.layers.29.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.793ms         0.61%       1.793ms     448.216us             4  
                   Module:model.layers.19.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.791ms         0.61%       1.791ms     447.816us             4  
                   Module:model.layers.24.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.789ms         0.61%       1.789ms     447.168us             4  
                    Module:model.layers.6.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.787ms         0.61%       1.787ms     446.696us             4  
                   Module:model.layers.33.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.786ms         0.61%       1.786ms     446.592us             4  
                   Module:model.layers.26.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.781ms         0.61%       1.781ms     445.328us             4  
                   Module:model.layers.18.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.781ms         0.61%       1.781ms     445.296us             4  
                   Module:model.layers.31.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.780ms         0.61%       1.780ms     445.008us             4  
                   Module:model.layers.27.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.780ms         0.61%       1.780ms     444.928us             4  
                   Module:model.layers.32.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.779ms         0.61%       1.779ms     444.792us             4  
                   Module:model.layers.25.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.777ms         0.61%       1.777ms     444.248us             4  
                   Module:model.layers.22.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.776ms         0.61%       1.776ms     444.080us             4  
                   Module:model.layers.15.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.776ms         0.61%       1.776ms     444.056us             4  
                   Module:model.layers.35.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.728ms         0.59%       1.728ms     431.952us             4  
                   execute_context_1(6)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       1.242ms         0.42%       1.242ms       1.242ms             1  
              Module:model.layers.15.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.223ms         0.42%       1.223ms     305.720us             4  
               Module:model.layers.0.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.195ms         0.41%       1.195ms     298.800us             4  
              Module:model.layers.18.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.156ms         0.39%       1.156ms     289.048us             4  
               Module:model.layers.8.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.155ms         0.39%       1.155ms     288.704us             4  
               Module:model.layers.3.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.154ms         0.39%       1.154ms     288.528us             4  
              Module:model.layers.11.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.150ms         0.39%       1.150ms     287.592us             4  
               Module:model.layers.6.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.148ms         0.39%       1.148ms     286.888us             4  
               Module:model.layers.4.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.146ms         0.39%       1.146ms     286.440us             4  
               Module:model.layers.2.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.145ms         0.39%       1.145ms     286.160us             4  
               Module:model.layers.1.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.142ms         0.39%       1.142ms     285.560us             4  
               Module:model.layers.5.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.142ms         0.39%       1.142ms     285.448us             4  
              Module:model.layers.12.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.141ms         0.39%       1.141ms     285.248us             4  
               Module:model.layers.9.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.141ms         0.39%       1.141ms     285.176us             4  
              Module:model.layers.10.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.140ms         0.39%       1.140ms     285.056us             4  
              Module:model.layers.33.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.140ms         0.39%       1.140ms     285.040us             4  
              Module:model.layers.14.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.139ms         0.39%       1.139ms     284.784us             4  
              Module:model.layers.13.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.139ms         0.39%       1.139ms     284.720us             4  
              Module:model.layers.32.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.132ms         0.39%       1.132ms     283.096us             4  
               Module:model.layers.7.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.129ms         0.39%       1.129ms     282.224us             4  
              Module:model.layers.25.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.128ms         0.39%       1.128ms     282.032us             4  
              Module:model.layers.31.self_attn.qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.127ms         0.39%       1.127ms     281.824us             4  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.250s
Self CUDA time total: 292.776ms

